1,20MICRONS,71,72.45,69.75,71.95,72,71,69588,4941776.8,1061
2,21STCENMGM,25.3,25.75,24.8,24.9,24.9,25.3,3188,80230.2,57
3,3IINFOLTD,43.75,43.9,42.4,42.55,42.65,43.4,127082,5450439.45,2250
4,3MINDIA,22725,22961.05,21510.05,21928.35,21976.45,22700.25,7380,163186098.9,3021
5,3PLAND,15.3,16.3,15.25,15.35,15.5,15.6,5999,93051.3,65
6,5PAISA,283,285,277.3,283.75,282.2,281.95,10318,2902459.8,595
7,610GS2031,94,94,94,94,94,94,1300,122200,1
8,63MOONS,188.75,188.75,183.05,186.4,187,180.8,37006,6873551.6,993
9,654GS2032,94.1,94.3,94.1,94.3,94.3,95.25,222,20912.2,4
10,667GS2050,90.5,91.79,89.2,91.6,91.6,90.11,1107,99655.72,9
11,669GS2024,100.68,101,100.68,101,101,100,10100,1016900,3
12,676GS2061,94,95,93,95,95,91.82,126,11755,4
13,695GS2061,88.5,97.53,88.5,93.9,93.9,92.89,1569,144655.27,14
14,699GS2051,94.2,94.76,94,94.76,94.76,94.49,204,19176.96,5
15,710GS2029,100,100,100,100,100,100,910,91000,7
16,716GS2023,105.22,105.22,105.22,105.22,105.22,105.02,1,105.22,1
17,719GS2060,86,90,86,90,90,90.25,1253,108265,3
18,754GS2036,101.5,101.5,101.3,101.5,101.5,101.5,672,68207.8,7
19,813GS2045,115.85,115.85,115.85,115.85,115.85,115.85,15,1737.75,1
20,A2ZINFRA,11.3,11.6,11.2,11.5,11.6,11.3,118148,1346741,248
21,AAATECH,97.5,101.4,96.2,98.65,100,94.2,123000,12190350,38
22,AAKASH,14.55,14.55,14.1,14.15,14.1,14.8,503664,7125920.95,788
23,AAREYDRUGS,34.7,35.5,34.5,35.05,34.75,35.05,12444,435013.2,240
24,AARON,120.4,126.8,117.8,126.2,126.4,120.45,18258,2273092.35,492
25,AARTIDRUGS,441,441.5,433,437.9,436,434.15,114912,50333162.8,4734
26,AARTIIND,728.75,732.9,719.75,728.4,729.05,726.25,490338,355398972.4,17280
27,AARTISURF,730.35,730.35,712.35,719.3,726,723.15,5202,3741912.6,862
28,AARVEEDEN,17.9,18.6,17.5,18.35,18.5,17.9,9445,171734.9,161
29,AARVI,89.3,90.75,87.25,90.5,90.75,87.65,10998,985338.25,119
30,AAVAS,1955.1,1999,1955.1,1992.45,1990.1,1959.8,44842,88884095.85,7916
31,ABAN,44.1,44.9,43.5,43.95,43.95,44.4,61010,2685484.7,1375
32,ABB,2530.1,2575.15,2521,2559.45,2563.05,2548.35,389496,995841281.4,17454
33,ABBOTINDIA,19585.65,19779.95,19510.05,19746.95,19763,19478.2,6942,136502273.4,2958
34,ABCAPITAL,91.9,92.4,90.7,92.2,92,91.35,922873,84562846.95,6670
35,ABFRL,257,257.85,251.45,254.65,254.05,255.35,721073,183435861.8,9209
36,ABINFRA,11.4,11.4,11.4,11.4,11.4,10.9,4000,45600,1
37,ABMINTLLTD,80.1,80.1,78,80,80,80.1,178,14092.25,14
38,ABSLAMC,412,415,411.6,414.3,414.95,412.2,24719,10215943,1497
39,ABSLBANETF,34.05,34.99,34.05,34.59,34.78,34.6,5773,200435.87,93
40,ABSLNN50ET,39.7,40.3,39.66,39.95,39.95,39.68,1855,74086.05,45
41,ACC,2132.05,2159,2111,2140.35,2142,2160.3,1004798,2145375091,49058
42,ACCELYA,903.15,908.2,901.55,902.45,905,900.5,2649,2392961.6,363
43,ACCORD,21.3,21.9,21.3,21.8,21.8,21.3,12000,261400,4
44,ACCURACY,210.95,210.95,200,202.45,202.05,208.7,15201,3103248.05,746
45,ACE,219.95,224.4,218.35,220.45,219.3,218.45,173856,38539799.2,4778
46,ACEINTEG,34.05,34.05,34.05,34.05,34.05,33.5,4500,153225,1
47,ACRYSIL,589.8,597.6,570,580.45,583.05,585.05,53319,30876487.1,4371
48,ADANIENT,2414.5,2422.95,2377,2405.25,2401,2383.1,1169788,2808640351,40288
49,ADANIGREEN,2115.05,2175,2024.2,2072.65,2072.5,2087,16301850,34041315276,410014
50,ADANIPORTS,737.7,738.45,726.1,730.9,729.3,724.45,4127381,3015341897,61023
51,ADANIPOWER,286,287.95,283.25,286.75,286.5,283.7,4462588,1277258019,52012
52,ADANITRANS,2970.4,3015,2841.1,2889.35,2885.2,2889.15,752850,2182006544,51522
53,ADFFOODS,709.6,720,706.55,712.8,715.75,708.85,9450,6764803.5,756
54,ADL,56.3,59.5,55.35,57.2,59.3,57.9,1140,65532.05,26
55,ADORWELD,780,798,758.15,789.55,783,773.55,16257,12741289.45,2200
56,ADROITINFO,18.95,18.95,18.5,18.85,18.85,18.05,71444,1349091.7,372
57,ADSL,134.4,134.9,128.25,130.4,130.45,133.4,117980,15442902.5,3035
58,ADVANIHOTR,68.7,70,68.1,69.1,69.5,67.95,9211,633252.25,229
59,ADVENZYMES,274.1,274.95,269.65,274.05,274.9,271.05,20900,5691104.8,1364
60,AEGISCHEM,207,209.5,205.2,206.65,206.65,207,233944,48425575.1,6272
61,AETHER,838,882,830,853.7,855,827,266091,227841719.2,15454
62,AFFLE,1035.5,1042,1015,1018.15,1017.1,1035.65,120192,122916360.4,8520
63,AGARIND,450.65,454,440.1,446.35,445.2,443.05,13842,6183200.85,1122
64,AGI,202.45,205.8,201.3,205,205.5,202.45,46403,9462616,2662
65,AGRITECH,87.55,87.55,83.85,84.5,87.35,87.55,543,46232.9,28
66,AGROPHOS,32.1,32.4,30.4,31.05,31.4,31.9,42317,1330978.55,436
67,AGSTRA,80,80.95,77,77.55,77.05,79.2,88729,6947434.15,2311
68,AHLADA,91.9,93.95,90.1,90.55,90.2,91.85,7386,675715,176
69,AHLEAST,221.6,224.4,218.25,221.65,223.8,220.75,2589,575303.55,279
70,AHLUCONT,431,439,428.1,433.9,428.1,430.2,16000,6954634.75,1338
71,AIAENG,2322,2344.95,2285,2301.3,2290,2316.75,57425,132955074.2,11699
72,AIRAN,19.7,20.05,19.7,19.9,19.95,19.9,93237,1856315.95,694
73,AIROLAM,66.9,66.9,63.05,65.4,65.55,64.1,9811,635213.3,213
74,AIRTELPP,274,282,269.8,272.25,273.9,270.25,759646,209355118.9,13018
75,AJANTPHARM,1192,1211.2,1192,1206.7,1203.9,1190.75,53735,64572706.75,6538
76,AJMERA,251.8,255.25,244,252.45,255,251.75,49237,12345388.15,3175
77,AJOONI,44.45,47.5,42.1,44.05,43.45,43.6,124259,5536908.6,997
78,AJRINFRA,1.55,1.6,1.5,1.55,1.5,1.55,126443,194095.25,278
79,AKASH,41,41.3,37.8,40.25,39.55,39.75,176864,7036195.5,1998
